# Number of Rows, Mode
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,5.872600000000000389e-03
2.000000000000000000e+00,7.164378125000000694e-03
3.000000000000000000e+00,7.883706250000004079e-03
4.000000000000000000e+00,-9.348528749999997917e-03
5.000000000000000000e+00,-1.719279999999998726e-02
6.000000000000000000e+00,-3.273973303571428572e-02
7.000000000000000000e+00,-3.275125000000001646e-02
8.000000000000000000e+00,-2.484060868055555302e-02
9.000000000000000000e+00,-2.232045999999999683e-02
1.000000000000000000e+01,-1.572522812500000075e-02
1.100000000000000000e+01,-5.337401458333333737e-02
1.200000000000000000e+01,-4.725602211538464104e-02
1.300000000000000000e+01,-4.223165714285716243e-02
1.400000000000000000e+01,-3.657884562499999492e-02
1.500000000000000000e+01,-4.633717500000000822e-02
1.600000000000000000e+01,-4.222379319852942459e-02
1.700000000000000000e+01,-3.860631215277779416e-02
1.800000000000000000e+01,-3.458982615131581118e-02
1.900000000000000000e+01,-3.560280750000001382e-02
2.000000000000000000e+01,-3.215669434523811543e-02
2.100000000000000000e+01,-2.992176732954546919e-02
2.200000000000000000e+01,-2.789667744565218002e-02
2.300000000000000000e+01,-3.945156666666665979e-02
2.400000000000000000e+01,-3.491620999999997532e-02
2.500000000000000000e+01,-3.332875192307692414e-02
2.600000000000000000e+01,-3.164256666666667023e-02
2.700000000000000000e+01,-4.069725758928571802e-02
2.800000000000000000e+01,-3.879874525862068990e-02
2.900000000000000000e+01,-3.709751541666667096e-02
3.000000000000000000e+01,-3.497784788306453063e-02
3.100000000000000000e+01,-5.337989999999999402e-02
3.200000000000000000e+01,-5.126240265151514597e-02
3.300000000000000000e+01,-4.938603198529412097e-02
3.400000000000000000e+01,-4.702949142857143494e-02
3.500000000000000000e+01,-4.246101354166668951e-02
3.600000000000000000e+01,-4.091923243243246466e-02
3.700000000000000000e+01,-3.925994210526317918e-02
3.800000000000000000e+01,-3.745325168269234006e-02
3.900000000000000000e+01,-4.433778999999998804e-02
4.000000000000000000e+01,-4.167067538109756053e-02
4.100000000000000000e+01,-3.982993318452381082e-02
4.200000000000000000e+01,-3.748075595930230874e-02
4.300000000000000000e+01,-3.682223323863635656e-02
4.400000000000000000e+01,-3.469171465277777477e-02
4.500000000000000000e+01,-4.465114592391304649e-02
4.600000000000000000e+01,-4.214075738031915208e-02
4.700000000000000000e+01,-3.984324791666665755e-02
4.800000000000000000e+01,-3.885391007653062057e-02
4.900000000000000000e+01,-3.781742562500001181e-02
5.000000000000000000e+01,-3.659309044117647902e-02
5.100000000000000000e+01,-3.455556250000002549e-02
5.200000000000000000e+01,-3.378998396226416678e-02
5.300000000000000000e+01,-3.295102546296298229e-02
5.400000000000000000e+01,-3.189746471590909627e-02
5.500000000000000000e+01,-2.964711874999998581e-02
5.600000000000000000e+01,-2.796837669956140152e-02
5.700000000000000000e+01,-2.719736551724136892e-02
5.800000000000000000e+01,-2.643317674788134633e-02
5.900000000000000000e+01,-2.611120208333333678e-02
6.000000000000000000e+01,-2.522275758196720202e-02
6.100000000000000000e+01,-2.016694838709676488e-02
6.200000000000000000e+01,-1.948741612103176493e-02
6.300000000000000000e+01,-1.935062187500001182e-02
6.400000000000000000e+01,-1.875792019230771226e-02
6.500000000000000000e+01,-3.909559895833338017e-02
6.600000000000000000e+01,-3.838816054104482456e-02
6.700000000000000000e+01,-3.762317334558827608e-02
6.800000000000000000e+01,-3.675193079710149802e-02
6.900000000000000000e+01,-5.376437330357149158e-02
7.000000000000000000e+01,-5.279852169894369562e-02
7.100000000000000000e+01,-5.187959687500000999e-02
7.200000000000000000e+01,-5.076503608732879647e-02
7.300000000000000000e+01,-4.792409020270269743e-02
7.400000000000000000e+01,-4.678776200000001051e-02
7.500000000000000000e+01,-4.662368421052633105e-02
7.600000000000000000e+01,-4.566948336038960388e-02
7.700000000000000000e+01,-4.512451225961539025e-02
7.800000000000000000e+01,-4.424815454905063616e-02
7.900000000000000000e+01,-6.520377187499999672e-02
8.000000000000000000e+01,-6.361834513888886544e-02
8.100000000000000000e+01,-6.308590228658535193e-02
8.200000000000000000e+01,-6.190025143072287739e-02
8.300000000000000000e+01,-6.126827113095238697e-02
8.400000000000000000e+01,-5.991693481617645090e-02
8.500000000000000000e+01,-5.745904120639536150e-02
8.600000000000000000e+01,-5.666728254310345048e-02
8.700000000000000000e+01,-5.588071704545455320e-02
8.800000000000000000e+01,-5.474080681179772923e-02
8.900000000000000000e+01,-5.352998048611110060e-02
9.000000000000000000e+01,-5.214148169642855712e-02
9.100000000000000000e+01,-6.845796154891303775e-02
9.200000000000000000e+01,-6.752469663978495629e-02
9.300000000000000000e+01,-6.686293211436170059e-02
9.400000000000000000e+01,-6.585957427631579375e-02
9.500000000000000000e+01,-6.338362395833331553e-02
9.600000000000000000e+01,-6.216123228092781949e-02
9.700000000000000000e+01,-7.621868928571429169e-02
9.800000000000000000e+01,-7.526737234848485114e-02
9.900000000000000000e+01,-7.437043324999997873e-02
1.000000000000000000e+02,-7.329377001856435259e-02
1.010000000000000000e+02,-7.667369099264706445e-02
1.020000000000000000e+02,-7.510390631067963285e-02
1.030000000000000000e+02,-7.420393197115381090e-02
1.040000000000000000e+02,-7.321548258928568809e-02
1.050000000000000000e+02,-7.239604817216978294e-02
1.060000000000000000e+02,-7.160705589953271499e-02
1.070000000000000000e+02,-6.948114305555554149e-02
1.080000000000000000e+02,-6.850282482798165928e-02
1.090000000000000000e+02,-6.636498238636365232e-02
1.100000000000000000e+02,-6.506798952702702588e-02
1.110000000000000000e+02,-6.436060133928575566e-02
1.120000000000000000e+02,-6.367213293694694298e-02
